Código OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Visada de Heliponto;TIPO_USO;id;categoria;parent_id;name;Label
;AC0015;HUERB - Hospital de Urgência e Emergência de Rio Branco;RIO BRANCO;Acre;Elevado;-9.9644444;-67.814444;"09°57'52.0""S";"067°48'52.0""W";180,0;VFR;Sem Operação;8 23;Quadrado;21 m;6,00;Concreto;25/02/2031;PA2021-4111;https://pergamum.anac.gov.br/arquivos/PA2021-4111.pdf;;;;;;;Privado;62;3;4;Helipontos;
;AC0016;MNTB;CRUZEIRO DO SUL;Acre;No solo;-7.5822222;-72.731111;"07°34'56.0""S";"072°43'52.0""W";218,0;VFR;;;Quadrado;;4,00;Concreto;04/01/2032;PA2021-6767;https://pergamum.anac.gov.br/arquivos/PA2021-6767.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDVC;AL0014;Valda Costa;MARAGOGI;Alagoas;No solo;-8.9177778;-35.164167;"08°55'04.0""S";"035°09'51.0""W";11,0;VFR;VFR;15;Quadrado;20 m;3,00;Concreto;07/11/2024;PA2014-2628;https://pergamum.anac.gov.br/arquivos/PA2014-2628.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIDD;AL0015;Fazenda São Braz;BARRA DE SANTO ANTÔNIO;Alagoas;No solo;-9.3794444;-35.508056;"09°22'46.5""S";"035°30'29.8""W";6,0;VFR;;;Circular;26 m;3,00;Concreto;02/10/2025;PA2015-2604;https://pergamum.anac.gov.br/arquivos/PA2015-2604.pdf;;;;;;;Privado;62;3;4;Helipontos;
SJEZ;AL0016;República dos Palmares;MACEIÓ;Alagoas;Elevado;-9.6597222;-35.740556;"09°39'35.0""S";"035°44'26.0""W";21,0;VFR;VFR;12 30;Quadrado;20 m;4,00;Concreto;17/06/2031;PA2021-5134;https://pergamum.anac.gov.br/arquivos/PA2021-5134.pdf;;;;;;;Privado;62;3;4;Helipontos;
SJSG;AL0017;Usina Serra Grande;SÃO JOSÉ DA LAJE;Alagoas;No solo;-8.9780556;-36.070278;"08°58'41.0""S";"036°04'13.0""W";358,0;VFR;VFR;15 30;Quadrado;19,5 m;3,00;Paralelepípedo;22/10/2030;PA2020-2662;https://pergamum.anac.gov.br/arquivos/PA2020-2662.pdf;;;;;;;Privado;62;3;4;Helipontos;
SNLX;AL0018;Condomínio Laguna;MARECHAL DEODORO;Alagoas;No solo;-9.7030556;-35.800556;"09°42'11.5""S";"035°48'02.5""W";4,0;VFR;VFR;5;Quadrado;19,5 m;3,00;Asfalto;16/12/2025;PA2015-3324;https://pergamum.anac.gov.br/arquivos/PA2015-3324.pdf;;;;;;;Privado;62;3;4;Helipontos;
SWQR;AL0019;Reserva do Toque;SÃO MIGUEL DOS MILAGRES;Alagoas;No solo;-9.255;-35.371111;"09°15'18.0""S";"035°22'16.0""W";28,0;VFR;VFR;34;Quadrado;21 m;4,00;Concreto;25/04/2026;PA2016-0995;https://pergamum.anac.gov.br/arquivos/PA2016-0995.pdf;;;;;;;Privado;62;3;4;Helipontos;
SSEO;AL0020;MS Maragogi;MARAGOGI;Alagoas;No solo;-9.0230556;-35.225;"09°01'23.0""S";"035°13'30.0""W";9,0;VFR;VFR;31;Quadrado;21 m;7,00;Concreto;12/12/2028;PA2018-3720;https://pergamum.anac.gov.br/arquivos/PA2018-3720.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIYP;AL0021;Empresarial Delman;MACEIÓ;Alagoas;Elevado;-9.6738889;-35.718611;"09°40'26.0""S";"035°43'07.0""W";37,0;VFR;VFR;19;Quadrado;19,5 m;4,00;Concreto;03/02/2031;PA2019-2117;https://pergamum.anac.gov.br/arquivos/PA2019-2117.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEH;AM0056;Hospital Zona Norte;MANAUS;Amazonas;Elevado;-2.9980556;-60.03;"02°59'53.0""S";"060°01'48.0""W";110,0;VFR;VFR;27;Quadrado;20,52 m;5,00;Concreto;17/05/2026;PA2016-1204;https://pergamum.anac.gov.br/arquivos/PA2016-1204.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIAM;AM0057;Francisca Mendes;MANAUS;Amazonas;Elevado;-3.0325;-59.964167;"03°01'57.0""S";"059°57'51.0""W";113,0;VFR;VFR;32;Quadrado;18,24 m;3,00;Concreto;14/08/2024;PA2014-1898;https://pergamum.anac.gov.br/arquivos/PA2014-1898.pdf;;;;;;;Privado;62;3;4;Helipontos;
SJGA;AM0059;Hospital Universitário Getúlio Vargas;MANAUS;Amazonas;Elevado;-3.1161111;-60.019167;"03°06'58.0""S";"060°01'09.0""W";122,0;VFR;VFR;11;Quadrado;19,5 m;3,00;Concreto;16/11/2026;PA2016-2892;https://pergamum.anac.gov.br/arquivos/PA2016-2892.pdf;;;;;;;Privado;62;3;4;Helipontos;
SJQY;AM0060;Terminal do Solimões;COARI;Amazonas;No solo;-3.9441667;-63.163611;"03°56'39.0""S";"063°09'49.0""W";34,0;VFR;;18 36;Quadrado;33 m;10,00;Concreto;19/12/2022;PA2012-2776;https://pergamum.anac.gov.br/arquivos/PA2012-2776.pdf;;;;;;;Privado;62;3;4;Helipontos;
SJRA;AM0061;P.E. Anori;ANORI;Amazonas;No solo;-3.7105556;-61.6625;"03°42'38.5""S";"061°39'45.5""W";29,0;VFR;;4;Quadrado;19,5 m;12,00;Concreto;26/01/2027;PA2017-0200;https://pergamum.anac.gov.br/arquivos/PA2017-0200.pdf;;;;;;;Privado;62;3;4;Helipontos;
SNHZ;AM0062;Palácio do Governo do Estado do Amazonas;MANAUS;Amazonas;Elevado;-3.0925;-60.06;"03°05'33.0""S";"060°03'36.0""W";65,0;VFR;VFR;10 33;Quadrado;18 m;3,00;Concreto;26/01/2025;PA2015-0169;https://pergamum.anac.gov.br/arquivos/PA2015-0169.pdf;;;;;;;Privado;62;3;4;Helipontos;
