idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,NOTerminal,CNPJInstal,RazaoSocia,CNPJEmpres,RazaoSoc_1,IDTipoOuto,NOTipoOuto,IDTipoTerm,NOTipoTerm,NROutorga,DTOutorga,STTerminal,TPTerminal,VLMontante,DSSituacao,TPInstalac,NRTLO,DTTLO,NRInstrume,NRProcesso,layer,path
"214","0",BRSC018,Estaleiro Navship,Registro - Estaleiro,BR,BRS,BRSC018,Em Operação,Privada,Registro - Estaleiro,ESTALEIRO NAVSHIP LTDA.,"07171021000119",Res. 5500/2017,,RUA ORLANDO FERREIRA,,"305",MACHADOS,"88371320","4211306",,,,,,Itajaí-Açu,"-26.879","-48.69","Atualizado pela GAP em 03/07/2017 - Registro.
ATUALIZADO PELA G",Antaq,,Estaleiro Navship,7171021000119,ESTALEIRO NAVSHIP LTDA.,7171021000119,ESTALEIRO NAVSHIP LTDA.,"9",Registro (RN 13/2016),"15",Registro - Estaleiro,Res. 5500/2017,2017-06-29 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"5500",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300080","0",BRPA029,Majonav,Registro - Instalação de apoio,BR,BRP,BRPA029,Em Operação,Privada,Registro - Instalação de apoio,MAJONAV TRANSPORTE FLUVIAL DA BACIA AMAZÔNIC,"04199014000137",Res. 5857/2017,,Quadra 01 Setor A,Lotes 08 e 09,,Icoaraci,"66630505","1501402",,,,,,Maguari,"-1.281","-48.449",,Antaq,,Majonav,4199014000137,MAJONAV TRANSPORTE FLUVIAL DA BACIA AMAZÔNICA LTDA,4199014000137,MAJONAV TRANSPORTE FLUVIAL DA BACIA AMAZÔNICA LTDA,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 5857/2017,2017-12-21 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"5857",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300169","0",BRAM066,Porto do Cimento,Registro - Instalação rudimentar,BR,BRA,BRAM066,Em Operação,Privada,Registro - Instalação rudimentar,PORTO DO CIMENTO E NAVEGAÇÕES LTDA,"07104898000197",Res. 4.383/2015,,R PONTA GROSSA,,"20",COLONIA OLIVEIRA MACHADO,"69074190","1302603",,,,,,Negro,"-3.153","-60",Inserido pela GAP em 29/09/2015.,Antaq,,Porto do Cimento,7104898000197,PORTO DO CIMENTO E NAVEGAÇÕES LTDA,7104898000197,PORTO DO CIMENTO E NAVEGAÇÕES LTDA,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4.383/2015,2015-09-29 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300170","0",BRRO008,Estaleiro Amazônia Navegações,Registro - Estaleiro,BR,BRR,BRRO008,Em Operação,Privada,Registro - Estaleiro,AMAZÔNIA NAVEGAÇÕES LTDA.,"84554666000181",Res. 6477/2018,,Estrada do Belmont,,"9919",Nacional,"76801870","1100205",,,,,,Madeira,"-8.711","-63.919","Atualizado: registrado autorizado pela Resolução 6477/2018.  
A",Antaq,,Estaleiro Amazônia Navegações,84554666000181,AMAZÔNIA NAVEGAÇÕES LTDA.,84554666000181,AMAZÔNIA NAVEGAÇÕES LTDA.,"9",Registro (RN 13/2016),"15",Registro - Estaleiro,Res. 6477/2018,2018-11-02 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300171","0",BRRO020,Instalação Rudimentar L.A de Oliveira,Registro - Instalação rudimentar,BR,BRR,BRRO020,Em Operação,Privada,Registro - Instalação rudimentar,L. A DE OLIVEIRA - ME,"13108316000143",Res. 4107/2015,,Estrada Maravilha,Quadra 02 - Setor 53 - S/Nº,,Zona Rural,"76801000","1100205",,,,,,Madeira,"-8.717","-63.926",Cadastro feito pela GAP em 18/06/2015,Antaq,,Instalação Rudimentar L.A de Oliveira,13108316000143,L. A DE OLIVEIRA - ME,13108316000143,L. A DE OLIVEIRA - ME,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4107/2015,2015-05-21 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300173","0",BRRJ048,Uote Transpetro,Registro - Instalação para transferência,BR,BRR,BRRJ048,Em Operação,Privada,Registro - Instalação para transferência de petróleo,PETROBRAS TRANSPORTE S.A. - TRANSPETRO,"02709449000159",Res. 3658/2014,,Oceano Atlântico - 65 km do Farol de São Tomé,,,"-","0","3301009",,,,,,,"-22.162","-40.343",Registro aprovado por meio da Resolução nº 3658/2014 de 2014.,Antaq,,Uote Transpetro,2709449000159,PETROBRAS TRANSPORTE S.A. - TRANSPETRO,2709449000159,PETROBRAS TRANSPORTE S.A. - TRANSPETRO,"9",Registro (RN 13/2016),"9",Registro - Instalação para transferência de petróleo,Res. 3658/2014,2014-04-19 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300174","0",BRPA059,Mineração Rio do Norte - Rampa de Suprimentos,Registro - Instalação rudimentar,BR,BRP,BRPA059,Em Operação,Privada,Registro - Instalação rudimentar,MINERAÇÃO RIO DO NORTE,"04932216000146",Res. 4195/2015,,Rua Rio Jari,S/Nº,,Porto Trombetas,"68275000","1505304",,,,,,Trombetas,"-1.461","-56.376",Cadastro realizado pela GAP em 25/06/2015,Antaq,,Mineração Rio do Norte - Rampa de Suprimentos,4932216000146,MINERAÇÃO RIO DO NORTE,4932216000146,MINERAÇÃO RIO DO NORTE,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4195/2015,2015-06-24 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300175","0",BRPA060,Mineração Rio do Norte - Pátio de Toras,Registro - Instalação rudimentar,BR,BRP,BRPA060,Em Operação,Privada,Registro - Instalação rudimentar,MINERAÇÃO RIO DO NORTE,"04932216000146",Res. 4196/2015,,Rua Rio Jari,S/Nº,,Porto Trombetas,"68275000","1505304",,,,,,Trombetas,"-1.461","-56.383",Cadastro realizado pela GAP em 25/06/2015,Antaq,,Mineração Rio do Norte - Pátio de Toras,4932216000146,MINERAÇÃO RIO DO NORTE,4932216000146,MINERAÇÃO RIO DO NORTE,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4196/2015,2015-06-24 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300176","0",BRPA062,Mineração Rio do Norte - Balsa Matuera,Registro - Instalação rudimentar,BR,BRP,BRPA062,Em Operação,Privada,Registro - Instalação rudimentar,MINERAÇÃO RIO DO NORTE,"04932216000146",Res. 4289/2015,,Rua Rio Jari,S/N,,Porto Trombeta,"68275000","1505304",,,,,,Trombetas,"-1.461","-56.377",Cadastro realizado pela GAP em 04/09/2015 com base na Publicação,Antaq,,Mineração Rio do Norte - Balsa Matuera,4932216000146,MINERAÇÃO RIO DO NORTE,4932216000146,MINERAÇÃO RIO DO NORTE,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4289/2015,2015-08-14 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300179","0",BRRJ046,Estaleiro TCE,Registro - Estaleiro até 1.000 TPB,BR,BRR,BRRJ046,Em Operação,Privada,Registro - Estaleiro até 1.000 TPB,ESTALEIRO TCE LTDA,"00308178000102",Res. 3637/2014,,RUA MARIO TRILHA,ILHA DA CONCEIÇÃO,"215",ILHA DA CONCEIÇÃO,"24050190","3303302",,,,,,,"-22.872","-43.113",Registro aprovado pela RES.3637-ANTAQ de 15/09/2014 DOU 16/09/20,Antaq,,Estaleiro TCE,308178000102,ESTALEIRO TCE LTDA,308178000102,ESTALEIRO TCE LTDA,"5",Registro (Resol. 3.290/2014),"11",Registro - Estaleiro até 1.000 TPB,Res. 3637/2014,2014-09-15 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
