"geometriaa","tipovia","jurisdicao","administra","concession","revestimen","operaciona","situacaofi","canteirodi","nrpistas","nrfaixas","trafego","tipopavime","sigla","acostament","codtrechor","limitevelo","emperimetr","categoria","parent_id","name","label","id"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","","2","Permanente                                                                      ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","CCR SPVIAS                                                                                          ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-258                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-258                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Federal                                                                         ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BR-459                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BR-459                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Federal                                                                         ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Asfalto                                                                         ","BR-283                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BR-283                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","MT-409                     ","Não                                                                             ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","MT-409                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","CCR SPVIAS                                                                                          ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-258                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-258                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Desconhecida                                                                    ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","PA-320                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","PA-320                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","CCR SPVIAS                                                                                          ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-258                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-258                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","CCR SPVIAS                                                                                          ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-258                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-258                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-120                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-120                                            ","27"
